Episode,Reward,Length
680,22.0,22
681,23.0,23
682,17.0,17
683,17.0,17
684,18.0,18
685,21.0,21
686,49.0,49
687,13.0,13
688,17.0,17
689,22.0,22
690,15.0,15
691,11.0,11
692,12.0,12
693,25.0,25
694,16.0,16
695,17.0,17
696,32.0,32
697,30.0,30
698,13.0,13
699,14.0,14
700,21.0,21
701,39.0,39
702,41.0,41
703,21.0,21
704,27.0,27
705,9.0,9
706,12.0,12
707,26.0,26
708,33.0,33
709,30.0,30
710,18.0,18
711,21.0,21
712,13.0,13
713,33.0,33
714,13.0,13
715,14.0,14
716,20.0,20
717,15.0,15
718,11.0,11
719,18.0,18
720,15.0,15
721,49.0,49
722,15.0,15
723,17.0,17
724,20.0,20
725,14.0,14
726,12.0,12
727,20.0,20
728,12.0,12
729,17.0,17
730,30.0,30
731,25.0,25
732,26.0,26
733,10.0,10
734,27.0,27
735,25.0,25
736,13.0,13
737,24.0,24
738,14.0,14
739,11.0,11
740,19.0,19
741,11.0,11
742,24.0,24
743,50.0,50
744,30.0,30
745,17.0,17
746,38.0,38
747,27.0,27
748,32.0,32
749,22.0,22
750,22.0,22
751,20.0,20
752,12.0,12
753,46.0,46
754,31.0,31
755,20.0,20
756,21.0,21
757,11.0,11
758,16.0,16
759,21.0,21
760,22.0,22
761,14.0,14
762,32.0,32
763,13.0,13
764,18.0,18
765,19.0,19
766,15.0,15
767,9.0,9
768,15.0,15
769,30.0,30
770,32.0,32
771,36.0,36
772,50.0,50
773,12.0,12
774,10.0,10
775,10.0,10
776,31.0,31
777,11.0,11
778,26.0,26
779,12.0,12
780,25.0,25
781,13.0,13
782,25.0,25
783,47.0,47
784,11.0,11
785,48.0,48
786,13.0,13
787,55.0,55
788,21.0,21
789,14.0,14
790,23.0,23
791,11.0,11
792,10.0,10
793,38.0,38
794,15.0,15
795,14.0,14
796,28.0,28
797,27.0,27
798,15.0,15
799,39.0,39
800,15.0,15
801,43.0,43
802,11.0,11
803,29.0,29
804,17.0,17
805,23.0,23
806,15.0,15
807,14.0,14
808,37.0,37
809,28.0,28
810,16.0,16
811,13.0,13
812,12.0,12
813,16.0,16
814,9.0,9
815,20.0,20
816,19.0,19
817,19.0,19
818,17.0,17
819,14.0,14
820,12.0,12
821,34.0,34
822,29.0,29
823,10.0,10
824,21.0,21
825,13.0,13
826,28.0,28
827,17.0,17
828,23.0,23
829,20.0,20
830,15.0,15
831,13.0,13
832,34.0,34
833,9.0,9
834,17.0,17
835,15.0,15
836,15.0,15
837,12.0,12
838,17.0,17
839,15.0,15
840,12.0,12
841,17.0,17
842,12.0,12
843,18.0,18
844,13.0,13
845,27.0,27
846,15.0,15
847,25.0,25
848,17.0,17
849,23.0,23
850,52.0,52
851,20.0,20
852,20.0,20
853,27.0,27
854,11.0,11
855,13.0,13
856,32.0,32
857,18.0,18
858,12.0,12
859,12.0,12
860,16.0,16
861,14.0,14
862,18.0,18
863,17.0,17
864,19.0,19
865,13.0,13
866,25.0,25
867,15.0,15
868,25.0,25
869,18.0,18
870,26.0,26
871,25.0,25
872,41.0,41
873,19.0,19
874,11.0,11
875,22.0,22
876,28.0,28
877,67.0,67
878,19.0,19
879,14.0,14
880,12.0,12
881,22.0,22
882,12.0,12
883,30.0,30
884,15.0,15
885,33.0,33
886,22.0,22
887,12.0,12
888,15.0,15
889,43.0,43
890,17.0,17
891,13.0,13
892,20.0,20
893,27.0,27
894,14.0,14
895,26.0,26
896,9.0,9
897,17.0,17
898,27.0,27
899,18.0,18
900,30.0,30
901,22.0,22
902,15.0,15
903,65.0,65
904,16.0,16
905,24.0,24
906,10.0,10
907,20.0,20
908,10.0,10
909,19.0,19
910,23.0,23
911,20.0,20
912,30.0,30
913,20.0,20
914,33.0,33
915,44.0,44
916,21.0,21
917,22.0,22
918,18.0,18
919,26.0,26
920,53.0,53
921,27.0,27
922,44.0,44
923,27.0,27
924,32.0,32
925,12.0,12
926,13.0,13
927,36.0,36
928,32.0,32
929,14.0,14
930,13.0,13
931,11.0,11
932,13.0,13
933,23.0,23
934,37.0,37
935,36.0,36
936,16.0,16
937,14.0,14
938,31.0,31
939,13.0,13
940,10.0,10
941,11.0,11
942,14.0,14
943,28.0,28
944,25.0,25
945,12.0,12
946,51.0,51
947,67.0,67
948,39.0,39
949,24.0,24
950,11.0,11
951,19.0,19
952,25.0,25
953,12.0,12
954,17.0,17
955,21.0,21
956,30.0,30
957,18.0,18
958,24.0,24
959,33.0,33
960,25.0,25
961,39.0,39
962,39.0,39
963,16.0,16
964,20.0,20
965,12.0,12
966,14.0,14
967,13.0,13
968,16.0,16
969,57.0,57
970,20.0,20
971,12.0,12
972,14.0,14
973,19.0,19
974,13.0,13
975,20.0,20
976,17.0,17
977,22.0,22
978,29.0,29
979,16.0,16
980,13.0,13
981,19.0,19
982,8.0,8
983,29.0,29
984,31.0,31
985,18.0,18
986,19.0,19
987,19.0,19
988,17.0,17
989,19.0,19
990,15.0,15
991,34.0,34
992,36.0,36
993,21.0,21
994,17.0,17
995,12.0,12
996,15.0,15
997,54.0,54
998,27.0,27
999,20.0,20
1000,26.0,26
