Episode,Reward,Length
845,13.0,13
846,13.0,13
847,13.0,13
848,17.0,17
849,11.0,11
850,13.0,13
851,18.0,18
852,13.0,13
853,13.0,13
854,11.0,11
855,24.0,24
856,13.0,13
857,14.0,14
858,12.0,12
859,17.0,17
860,12.0,12
861,13.0,13
862,12.0,12
863,13.0,13
864,13.0,13
865,12.0,12
866,12.0,12
867,17.0,17
868,16.0,16
869,11.0,11
870,12.0,12
871,12.0,12
872,13.0,13
873,11.0,11
874,12.0,12
875,11.0,11
876,14.0,14
877,11.0,11
878,17.0,17
879,13.0,13
880,15.0,15
881,15.0,15
882,12.0,12
883,24.0,24
884,13.0,13
885,13.0,13
886,14.0,14
887,12.0,12
888,18.0,18
889,12.0,12
890,11.0,11
891,17.0,17
892,14.0,14
893,17.0,17
894,13.0,13
895,15.0,15
896,11.0,11
897,23.0,23
898,13.0,13
899,11.0,11
900,14.0,14
901,18.0,18
902,13.0,13
903,18.0,18
904,11.0,11
905,17.0,17
906,14.0,14
907,14.0,14
908,18.0,18
909,18.0,18
910,13.0,13
911,13.0,13
912,14.0,14
913,14.0,14
914,13.0,13
915,12.0,12
916,16.0,16
917,11.0,11
918,14.0,14
919,15.0,15
920,16.0,16
921,24.0,24
922,17.0,17
923,14.0,14
924,11.0,11
925,11.0,11
926,12.0,12
927,16.0,16
928,17.0,17
929,12.0,12
930,11.0,11
931,11.0,11
932,17.0,17
933,17.0,17
934,13.0,13
935,13.0,13
936,13.0,13
937,13.0,13
938,15.0,15
939,15.0,15
940,12.0,12
941,12.0,12
942,17.0,17
943,24.0,24
944,16.0,16
945,12.0,12
946,17.0,17
947,15.0,15
948,13.0,13
949,12.0,12
950,11.0,11
951,10.0,10
952,12.0,12
953,16.0,16
954,12.0,12
955,14.0,14
956,11.0,11
957,12.0,12
958,17.0,17
959,17.0,17
960,11.0,11
961,12.0,12
962,8.0,8
963,11.0,11
964,13.0,13
965,11.0,11
966,12.0,12
967,14.0,14
968,15.0,15
969,15.0,15
970,29.0,29
971,17.0,17
972,14.0,14
973,13.0,13
974,11.0,11
975,14.0,14
976,13.0,13
977,13.0,13
978,13.0,13
979,11.0,11
980,11.0,11
981,17.0,17
982,15.0,15
983,15.0,15
984,15.0,15
985,12.0,12
986,18.0,18
987,13.0,13
988,15.0,15
989,17.0,17
990,13.0,13
991,11.0,11
992,12.0,12
993,15.0,15
994,13.0,13
995,15.0,15
996,15.0,15
997,14.0,14
998,11.0,11
999,17.0,17
1000,14.0,14
1001,18.0,18
1002,11.0,11
1003,15.0,15
1004,12.0,12
1005,16.0,16
1006,18.0,18
1007,20.0,20
1008,15.0,15
1009,11.0,11
1010,12.0,12
1011,17.0,17
1012,11.0,11
1013,18.0,18
1014,15.0,15
1015,17.0,17
1016,15.0,15
1017,13.0,13
1018,13.0,13
1019,14.0,14
1020,13.0,13
1021,14.0,14
1022,15.0,15
1023,14.0,14
1024,14.0,14
1025,12.0,12
1026,18.0,18
1027,13.0,13
1028,13.0,13
1029,15.0,15
1030,11.0,11
1031,12.0,12
1032,13.0,13
1033,17.0,17
1034,15.0,15
1035,15.0,15
1036,12.0,12
1037,14.0,14
1038,17.0,17
1039,11.0,11
1040,16.0,16
1041,17.0,17
1042,13.0,13
1043,18.0,18
1044,15.0,15
1045,11.0,11
1046,26.0,26
1047,12.0,12
1048,17.0,17
1049,16.0,16
1050,17.0,17
1051,11.0,11
1052,17.0,17
1053,13.0,13
1054,14.0,14
1055,13.0,13
1056,12.0,12
1057,13.0,13
1058,13.0,13
1059,13.0,13
1060,11.0,11
1061,19.0,19
1062,11.0,11
1063,13.0,13
1064,11.0,11
1065,22.0,22
1066,18.0,18
1067,11.0,11
1068,16.0,16
1069,12.0,12
1070,12.0,12
1071,16.0,16
1072,15.0,15
1073,13.0,13
1074,15.0,15
1075,13.0,13
1076,13.0,13
1077,17.0,17
1078,23.0,23
1079,13.0,13
1080,15.0,15
1081,14.0,14
1082,13.0,13
1083,15.0,15
1084,18.0,18
1085,12.0,12
1086,17.0,17
1087,11.0,11
1088,11.0,11
1089,15.0,15
1090,25.0,25
1091,14.0,14
1092,13.0,13
1093,12.0,12
1094,13.0,13
1095,15.0,15
1096,15.0,15
1097,17.0,17
1098,15.0,15
1099,15.0,15
1100,14.0,14
1101,13.0,13
1102,12.0,12
1103,15.0,15
1104,15.0,15
1105,11.0,11
1106,12.0,12
1107,11.0,11
1108,14.0,14
1109,14.0,14
1110,12.0,12
1111,14.0,14
1112,16.0,16
1113,12.0,12
1114,17.0,17
1115,16.0,16
1116,13.0,13
1117,14.0,14
1118,12.0,12
1119,11.0,11
1120,13.0,13
1121,17.0,17
1122,14.0,14
1123,15.0,15
1124,18.0,18
1125,13.0,13
1126,13.0,13
1127,13.0,13
1128,13.0,13
1129,11.0,11
1130,17.0,17
1131,11.0,11
1132,13.0,13
1133,13.0,13
1134,12.0,12
1135,13.0,13
1136,17.0,17
1137,11.0,11
1138,11.0,11
1139,13.0,13
1140,13.0,13
1141,14.0,14
1142,15.0,15
1143,12.0,12
1144,11.0,11
1145,15.0,15
1146,18.0,18
1147,11.0,11
1148,13.0,13
1149,14.0,14
1150,11.0,11
1151,16.0,16
1152,13.0,13
1153,13.0,13
1154,15.0,15
1155,15.0,15
1156,11.0,11
1157,11.0,11
1158,15.0,15
1159,11.0,11
1160,13.0,13
1161,14.0,14
1162,14.0,14
1163,17.0,17
1164,17.0,17
1165,15.0,15
1166,17.0,17
1167,15.0,15
1168,13.0,13
1169,12.0,12
1170,13.0,13
1171,12.0,12
1172,11.0,11
1173,17.0,17
1174,11.0,11
1175,17.0,17
1176,15.0,15
1177,12.0,12
1178,17.0,17
1179,13.0,13
1180,11.0,11
1181,16.0,16
1182,17.0,17
1183,14.0,14
1184,14.0,14
1185,13.0,13
1186,25.0,25
1187,13.0,13
1188,11.0,11
1189,11.0,11
1190,17.0,17
1191,12.0,12
1192,13.0,13
1193,15.0,15
1194,12.0,12
1195,17.0,17
1196,26.0,26
1197,17.0,17
1198,13.0,13
1199,13.0,13
1200,11.0,11
1201,24.0,24
1202,12.0,12
1203,15.0,15
1204,15.0,15
1205,11.0,11
1206,15.0,15
1207,11.0,11
1208,18.0,18
1209,11.0,11
1210,13.0,13
1211,14.0,14
1212,10.0,10
1213,18.0,18
1214,14.0,14
1215,11.0,11
1216,18.0,18
1217,11.0,11
1218,12.0,12
1219,11.0,11
1220,13.0,13
1221,13.0,13
1222,16.0,16
1223,12.0,12
1224,12.0,12
1225,16.0,16
1226,13.0,13
1227,15.0,15
1228,18.0,18
1229,17.0,17
1230,13.0,13
1231,12.0,12
1232,16.0,16
1233,18.0,18
1234,16.0,16
1235,16.0,16
1236,17.0,17
1237,18.0,18
1238,12.0,12
1239,13.0,13
1240,12.0,12
1241,17.0,17
1242,15.0,15
1243,15.0,15
1244,12.0,12
1245,26.0,26
1246,17.0,17
1247,26.0,26
1248,11.0,11
1249,13.0,13
1250,14.0,14
1251,15.0,15
1252,13.0,13
1253,13.0,13
1254,14.0,14
1255,14.0,14
1256,13.0,13
1257,15.0,15
